id_type,type
949,AUDÍFONOS BLUETOOTH
950,MOUSE
951,BATIDORAS MANUALES
952,ACCESORIOS DE COMPUTADORES
953,RECORTADORAS DE BARBA
954,TECLADOS
955,MOUSE PAD
956,MOCHILAS NOTEBOOKS
957,CORTAPELOS
958,MICRÓFONOS
959,AFEITADORAS
960,IMPRESORAS MULTIFUNCIONALES
961,SOUNDBAR
962,ANTENAS
963,BATIDORAS DE MANO
964,ALISADORES DE PELO
965,PARLANTES
966,MINICOMPONENTES
967,IMPRESORAS
968,ACCESORIOS DE CAMPING
969,ACCESORIOS FITNESS
970,MANCUERNAS
971,CUERDAS
972,ACCESORIOS PARA FÚTBOL
973,SCOOTERS
974,ACCESORIOS DE BICICLETAS
975,LENTES DE AGUA
976,PELOTAS
977,BOMBINES
978,PELOTAS DE FÚTBOL
979,CÁMARAS PARA BICICLETAS
980,BANANOS
981,SET GIMNASIA
982,CANDADOS
983,CANDADOS PARA BICICLETAS
984,PELOTA
985,AUTOS Y CAMIONETAS
986,PELUCHES
987,PLASTICINAS Y MASAS
988,ALFOMBRAS DE JUEGO
989,JUEGOS DE CREACIÓN Y DISEÑO
990,MUÑECAS
991,SET DE COMBATE
992,JUEGOS DE MESA
993,FIGURAS DE ACCIÓN
994,JUGUETES MINI HOGAR
995,JUGUETES ARMABLES
